Title,Rank,Score,Medium,Number of Episodes,Episode Length,Start Date,End Date,Premier Season,Source Material,Age Rating,Number of Members,URLS,Synopses,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8
Crayon Shin-chan Gaiden: Alien vs. Shinnosuke,5351,6.60,ONA,13,8 min. per ep.,Aug 2016,Oct 2016,N/A,Manga,"
  G - ",1734,https://myanimelist.net/anime/33661/Crayon_Shin-chan_Gaiden__Alien_vs_Shinnosuke,"Unlike the main television anime series which is mostly set in modern-day Japan, the new series will be a ""sealed room"" suspense comedy set 100 years in the future. The story begins when Shinnosuke and the entire Nohara family wake up from cold sleep to find themselves aboard a space ship drifting in space. The anime will depict the various events that take place inside the ship.",Sci-Fi,Space,Comedy,Ecchi,Seinen,,,
Final Fantasy XV: Episode Ardyn - Prologue,5352,6.60,ONA,1,"13 min.
 ",Feb 2019,Feb 2019,N/A,Game,"
  PG-13",6860,https://myanimelist.net/anime/38664/Final_Fantasy_XV__Episode_Ardyn_-_Prologue,"Final Fantasy XV: Episode Ardyn depicts the story of Ardyn Izunia, the main nemesis in Final Fantasy XV. The story of suffering, death, and resurrection leading up to the main story in FFXV. This animation reveals the story two millennia ago…",Action,,,,,,,
Five Star Stories,5353,6.60,Movie,1,1 hr. 5 min.,Mar 1989,Mar 1989,N/A,Manga,"
  R - 17+",9922,https://myanimelist.net/anime/2042/Five_Star_Stories,"Amaterasu is the god of light, the future emperor of the Joker Star System. Under the guise of young mecha conceptor Ladios Sopp, he is compelled by an old friend, Dr Ballanche, to save his two latest Fatimas Lachesis and Clotho. And so began the stories of the Joker System, as well as Amaterasu's love for Lachesis.",Action,Drama,Fantasy,Mecha,Sci-Fi,,,
Gambo,5354,6.60,Movie,1,"12 min.
 ",Jul 2013,Jul 2013,N/A,Original,"
  R - 17+",7073,https://myanimelist.net/anime/17679/Gambo,"Gambo is about a battle between a creature who's been killing members of a royal Japanese family, and a mysterious white bear who protects them.",Action,Demons,Historical,,,,,
Getsuyoubi no Tawawa Specials,5355,6.60,Special,2,4 min. per ep.,Dec 2016,Dec 2016,N/A,Other,"
  PG-13",22281,https://myanimelist.net/anime/34481/Getsuyoubi_no_Tawawa_Specials,Two special episodes of Getsuyoubi no Tawawa included on Blu-ray. 1. Ukkarimono daga Aisare Jouzu no Kawaii Kouhai 2. Ai-chan to Private Film,Slice of Life,Ecchi,,,,,,
Ginga Tetsudou 999: Glass no Clair,5356,6.60,Movie,1,"15 min.
 ",Mar 1980,Mar 1980,N/A,Manga,"
  G - ",2075,https://myanimelist.net/anime/6653/Ginga_Tetsudou_999__Glass_no_Clair,This short movie is a remake of the first half of episode 3 of Ginga Tetsudou 999.,Drama,Sci-Fi,Space,,,,,
Gokukoku no Brynhildr: Kara Sawagi,5357,6.60,Special,1,"20 min.
 ",Sep 2014,Sep 2014,N/A,Manga,"
  R+ - ",36044,https://myanimelist.net/anime/24695/Gokukoku_no_Brynhildr__Kara_Sawagi,Unaired episode 11.5 included with the second Blu-ray/DVD volume.,Sci-Fi,Harem,Comedy,Ecchi,Seinen,,,
Golgo 13: Queen Bee,5358,6.60,OVA,1,"56 min.
 ",May 1998,May 1998,N/A,Manga,"
  R+ - ",7761,https://myanimelist.net/anime/1761/Golgo_13__Queen_Bee,"Master assassin Golgo 13 is hired by the advisor of presidential candidate Robert Hardy to assassinate ""Queen Bee,"" the beautiful and deadly leader of a South American guerilla army. Golgo, however, finds this job too easy and digs further information to find out the true connection between Hardy and Queen Bee.",Action,Adventure,Military,Drama,Seinen,,,
Grisaia: Phantom Trigger The Animation - Stargazer,5359,6.60,Movie,1,"1 hr.
 ",Nov 2020,Nov 2020,N/A,Visual novel,N/A,12883,https://myanimelist.net/anime/42392/Grisaia__Phantom_Trigger_The_Animation_-_Stargazer,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Action,School,,,,,,
Hagure Yuusha no Aesthetica: Hajirai Ippai,5360,6.60,Special,6,4 min. per ep.,Sep 2012,Feb 2013,N/A,N/A,"
  R+ - ",35535,https://myanimelist.net/anime/15729/Hagure_Yuusha_no_Aesthetica__Hajirai_Ippai,DVD/BD Specials,Comedy,Ecchi,,,,,,
Huan Jie Wang,5361,6.60,ONA,20,10 min. per ep.,May 2018,Oct 2018,N/A,Web manga,"
  PG-13",2715,https://myanimelist.net/anime/37887/Huan_Jie_Wang,"In the world where most of the humans of the Eudemon continent have power of Eudemon (spiritual power), the protagonist is born without spiritual power, his dream is to be the next king of Eudemon. But without having any spiritual power can you fulfill your dream? On a day before the Tian Wu exam, he crosses a spy from the Mo Wu side that was defeated in the great war of 10 years ago. This girl infiltrates the forces of Tian Wu and thus the protagonist was involved in the middle of the fight between the forces Tian Wu and Mo Wu.",Action,Adventure,Magic,Fantasy,Shounen,,,
ID-0,5362,6.60,TV,12,24 min. per ep.,Apr 2017,Jun 2017,Spring,Original,"
  PG-13",17044,https://myanimelist.net/anime/33797/ID-0,"Transferring the human consciousness into a robotic ""I-Machine"" is now a reality thanks to the discovery of a valuable ore called ""orichalt."" However, there is the possibility of the consciousness failing to return to the host's body, rendering them stuck inside their new metallic frame for good. Such is the situation of members of the Excavate Company, a reckless band of I-Machine miners led by the notorious Grayman that aims to gather orichalt for profit. During a mining incursion, the group rescues Maya Mikuri, a student who was abandoned by her crew. Accused of stealing classified information on orichalt by her former colleagues, she joins the Excavate Company in hopes of clearing her name. They then begin an adventure that will change their lives—including that of Ido, an ace member of the group with no memory of his past. For the first time, Ido might have the chance to rediscover his true identity.",Sci-Fi,Space,Mecha,,,,,
Imouto sae Ireba Ii. (ONA),5363,6.60,ONA,6,2 min. per ep.,Oct 2017,Dec 2017,N/A,Light novel,"
  PG-13",9817,https://myanimelist.net/anime/37045/Imouto_sae_Ireba_Ii_ONA,"Original ""chibi"" styled animations of Imouto sae Ireba Ii. posted on the anime's official Twitter channel. Also included on the BD/DVD releases.",Comedy,,,,,,,
Kamen Rider Den-O: Imagin Anime,5364,6.60,OVA,10,5 min. per ep.,Apr 2008,Apr 2008,N/A,Other,"
  G - ",1080,https://myanimelist.net/anime/3923/Kamen_Rider_Den-O__Imagin_Anime,Web and DVD based 10 Episode OVA featuring the Imagin stars of the popular 2007 Kamen Rider Den-O live action tv series.,Action,Adventure,Comedy,Super Power,Kids,,,
Kemeko Deluxe!,5365,6.60,TV,12,24 min. per ep.,Oct 2008,Dec 2008,Fall,Manga,"
  PG-13",35881,https://myanimelist.net/anime/3464/Kemeko_Deluxe,"When Sanpeita Kobayashi was a child, his lovely friend had to move away, but she vowed that in ten years, they would meet again—as husband and wife. Ten years later, Sanpeita is a high school student, but he hasn't forgotten the feelings they shared. Sanpeita awakes from a dream about his last day with her, only to have his morning interrupted. A weird robot girl is battling other robots in his bedroom, claiming to be his wife. The robot's pilot looks like none other than Sanpeita's long-lost, childhood friend. But who is she really? Why did she have to leave? And what does she have to do with the Mishima Electronics Corporation?",Action,Comedy,Ecchi,Romance,School,Sci-Fi,Shounen,
Line Offline: Salaryman,5366,6.60,TV,114,3 min. per ep.,Jan 2013,Oct 2013,Winter,N/A,"
  PG-13",1681,https://myanimelist.net/anime/16906/Line_Offline__Salaryman,"The anime shorts are set in the fictional Line Corporation with a motley crew of idiosyncratic workers. There is the narcissistic section head and president's son James, the subsection head Moon (who is always gone somewhere but somehow gets his work done), the quiet but kindhearted subsection head Brown, and the subordinate Connie who is in an endless loop of yo-yo diets and weight gains.",Comedy,,,,,,,
Love Get Chu,5367,6.60,TV,25,24 min. per ep.,Apr 2006,Sep 2006,Spring,Visual novel,"
  PG-13",7286,https://myanimelist.net/anime/1070/Love_Get_Chu,"Five girls came to a training school to become voice actresses holding each thought in her mind. Momoko - she wanted to be a voice actress to meet her favorite voice actor. Rinka - she is an armature voice actress, but she didn't have special purpose to become voice actress. Yurika - she likes anime very much. Tsubasa - she was a girl in love, and acted only as a boy. Amane - she found a deadlock as a actress and tried to find another way. They managed to get over the difficulty to become voice actress although they couldn't perform as main characters yet. There is a love romance with a boy works for an anime company, and you can catch a glimpse of situations of anime industries.",Comedy,Romance,,,,,,
Mazinger Z tai Ankoku Daishougun,5368,6.60,Movie,1,"43 min.
 ",Jul 1974,Jul 1974,N/A,N/A,"
  PG-13",1817,https://myanimelist.net/anime/4406/Mazinger_Z_tai_Ankoku_Daishougun,"Kouji and his friends have defeated Dr. Hell and are now enjoying a break, but suddenly a strange prophet appears and warns everyone of an oncoming danger, mechanical beasts never seen before start appearing all around the world wrecking havoc. Its up to Kouji and his Mazinger Z to stand up to this threat but it seems he is vastly outnumber and outmatched. This film served as an alternative link between the Mazinger Z TV series and the Great Mazinger TV series. It basically introduces Great Mazinger to the audience, as well as his enemies from the Mikene Empire.",Action,Mecha,Shounen,,,,,
Nagagutsu wo Haita Neko no Bouken,5369,6.60,TV,26,25 min. per ep.,Apr 1992,Sep 1992,Spring,N/A,"
  G - ",664,https://myanimelist.net/anime/4468/Nagagutsu_wo_Haita_Neko_no_Bouken,"Anime adaptation of Charles Perrault fairy tale, directed by Susumu Ishizaki.",Adventure,Fantasy,,,,,,
Narue no Sekai,5370,6.60,TV,12,24 min. per ep.,Apr 2003,Jun 2003,Spring,Manga,"
  PG-13",16021,https://myanimelist.net/anime/840/Narue_no_Sekai,"Meet Narue, an adorable schoolgirl with a secret. She's really an alien with powers right out of a sci-fi comic! But growing up is never easy, and sometimes it doesn't help when you're from outer space. Join our spunky heroine as she faces androids, alien invaders, and her first date with the boy next door. It's the sci-fi comedy that's a direct hit to your heart! (Source: Central",Comedy,Romance,Sci-Fi,,,,,
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,5371,6.59,Special,1,"47 min.
 ",Nov 2014,Nov 2014,N/A,N/A,"
  PG - ",1438,https://myanimelist.net/anime/28723/Aikatsu__Dai_Starmiya_Ichigo_Matsuri_Zenyasai,Narrated recap of the Aikatsu! series.,Music,School,Shoujo,,,,,
Anime Sanjuushi: Aramis no Bouken,5372,6.59,Movie,1,"45 min.
 ",Mar 1989,Mar 1989,N/A,Novel,"
  G - ",1165,https://myanimelist.net/anime/2334/Anime_Sanjuushi__Aramis_no_Bouken,"Aramis fell off her horse and received the aid of a man named Francois. They fell in love with each other at first sight and spent their time happily for a while. Francois was killed by Manson and the Ironmask's people, so Aramis swore revenge. Then she went to Paris to be a musketeer. 1 year after the end of TV series, D'Artagnan had a drink with 3 musketeers and found that Jussac and the Cardinal's Guards harrassed a woman in a tavern in Paris. Of couse, they fought Jussac and the Cardinal's guards and won. On his way to home, D'Artagnan witnessed the woman whom he rescued from Jussac about to jump into the river, and rescued her again. D'Artagnan brought her to home but she disappeared soon. After a day, D'Artagnan heard that the woman was killed last night and Rochefort and Cardinal's guards arrested him for murder because his hat was found by the woman's body. Aramis discovers that the story has a link with Catherine de Médicis, and launches out an investigation. This one will bring back her to the castle of her beloved where she will have to face Pizzaro to protect a dangerous document.",Adventure,Historical,Romance,,,,,
Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi,5373,6.59,Movie,1,1 hr. 10 min.,Aug 2002,Aug 2002,N/A,Manga,"
  G - ",8431,https://myanimelist.net/anime/1670/Bakuten_Shoot_Beyblade_the_Movie__Gekitou_Takao_vs_Daichi,"The Bladebreakers are on a well deserved vacation. But, a hyperactive kid named Daichi continues to pursue Tyson for a rematch after his defeat in the Beyblade World Championships. The Bladebreakers' vacation eventually takes a turn for the worst once they encounter mysterious Beybladers who claim to be the Dark Spirits sealed inside a strange temple. With Daichi under their control, the Shadow Bladers seek to destroy the world with their Dark BitBeasts. Together, Tyson, Max, Ray, and Kai must save not only Daichi... but the world as well...",Action,Sci-Fi,Adventure,Comedy,Sports,Shounen,,
