Title,Rank,Score,Medium,Number of Episodes,Episode Length,Start Date,End Date,Premier Season,Source Material,Age Rating,Number of Members,URLS,Synopses,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8
Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,5301,6.61,Movie,1,"46 min.
 ",Mar 1984,Mar 1984,N/A,Novel,"
  G - ",1153,https://myanimelist.net/anime/15347/Meitantei_Holmes__Aoi_Ruby_no_Maki___Kaitei_no_Zaihou_no_Maki,"The famous blue ruby is stolen in such an elaborate way, that only one villain can be suspected - Professor Moriarty. It is up to Sherlock Holmes to return it and, in the process, to turn a young pick-pocket on the right path. In the second part, Moriarty sets his sights even higher, stealing a top-secret submarine from the Navy. What does he need it for? Holmes is once again on the trail.",Adventure,Mystery,Comedy,,,,,
Mushikago no Cagaster,5302,6.61,ONA,12,28 min. per ep.,Feb 2020,Feb 2020,N/A,Manga,N/A,19346,https://myanimelist.net/anime/38663/Mushikago_no_Cagaster,"In a near future, an illness called ""Cagaster"" made ​​its appearance. It turns humans into insects. The story begins 30 years after the onset of the illness, in 2125. It follows the adventures of Kidou, a boy who fights insects. (Source:",Action,Sci-Fi,Drama,,,,,
Nanaka 6/17,5303,6.61,TV,12,25 min. per ep.,Jan 2003,Mar 2003,Winter,Manga,"
  PG-13",7735,https://myanimelist.net/anime/776/Nanaka_6_17,"Seventeen-year-old Nanaka Kirisato is a high school student serious about her studies and goals in life. She frequently criticizes her best friend, Nenji Nagihara, for being a childish delinquent who spends his time fighting other boys. Then one day, after a heated argument with Nenji, she falls off a flight of stairs and suffers a brain injury, resulting in her mind reverting to that of a six-year-old. With this in mind, Nanaka's father and Nenji must keep her injury a secret as she struggles to live a normal life and grow up all over again.",Slice of Life,Comedy,Drama,Romance,Shounen,,,
Nanaka 6/17 Special,5304,6.61,Special,1,"25 min.
 ",Jun 2003,Jun 2003,N/A,Manga,"
  PG-13",1670,https://myanimelist.net/anime/5865/Nanaka_6_17_Special,Unaired series episode included in the DVD release.,Comedy,Drama,Romance,Shounen,Slice of Life,,,
Nijiiro Days: Houkago Special,5305,6.61,Special,1,"13 min.
 ",Apr 2016,Apr 2016,N/A,Manga,"
  PG-13",5843,https://myanimelist.net/anime/33102/Nijiiro_Days__Houkago_Special,Recap of the first 12 episodes of Nijiiro Days.,Slice of Life,Comedy,Romance,School,Shoujo,,,
Nil Admirari no Tenbin,5306,6.61,TV,12,23 min. per ep.,Apr 2018,Jun 2018,Spring,Visual novel,"
  PG-13",28858,https://myanimelist.net/anime/33850/Nil_Admirari_no_Tenbin,"The Taishou era didn't end in 15 years, but went on for another 25. In order to protect her waning family, a girl resolves to marry a man she doesn't even know the name of. However, just before the marriage was to take place, the girl's younger brother mysteriously committed suicide by self-immolation and was found holding an old book in his hands. Appearing before the bewildered young girl was the ""Imperial Library Intelligence Asset Management Bureau,"" more commonly referred to as ""Fukurou."" According to these men, there exists ""Maremono,"" which are books that greatly affect their readers. On top of that, ever since the incident involving the girl's younger brother, she unwittingly gains the ability to see ""Auras"" (the sentiments of the Maremono which manifest as bright lights and are usually invisible to humans). It was as though fate were trying to drag the young girl in its flames. And then, even though apprehensive, the girl chooses to venture outside her bird cage. Jealousy, hatred, scorn, compassion, and love. What awaited the girl was the darkness of betrayal that had already begun to bewitchingly inlay the imperial capital. Toyed by and swayed within that darkness, will the young girl finally reach the truth after her struggles, or...? (Source:",Harem,Historical,Romance,Fantasy,Josei,,,
Ninpuu Kamui Gaiden,5307,6.61,TV,26,25 min. per ep.,Apr 1969,Sep 1969,Spring,Manga,"
  R - 17+",1407,https://myanimelist.net/anime/5023/Ninpuu_Kamui_Gaiden,Kamui is a ninja from the Edo period who has decided to leave his clan. After doing so he is pursued relentlessly by the members of his former clan; who consider him to be a traitor and therefore wish to kill him. Kamui then wanders around Japan to escape from them by using his intelligence and great abilities to survive. In the course of the series Kamui begins to suffer from paranoia because of his status as a persecuted man. Kamui then started to believe that everybody wished to murder him and became distrusting of everyone he came across.,Action,Adventure,Historical,Martial Arts,Samurai,,,
Nyanko Days,5308,6.61,TV,12,2 min. per ep.,Jan 2017,Mar 2017,Winter,4-koma manga,"
  PG-13",54217,https://myanimelist.net/anime/34148/Nyanko_Days,"Konagai Tomoko is a first-year in high school and a shy girl. Tomoko owns three cats. The cheerful and live Munchkin Maa, the smart and responsible Russian Blue Rou, and the gentle crybaby Singapura Shii. Tomoko, whose only friends were her cats, one day becomes friends with Shiratori Azumi, who also loves cats. This is a fluffy and cute comedy about the daily life of Tomoko and her cats, Tomoko and Azumi's friendship, and the interaction between cats.",Slice of Life,Comedy,,,,,,
Ojisan to Marshmallow,5309,6.61,TV,12,3 min. per ep.,Jan 2016,Mar 2016,Winter,Web manga,"
  PG-13",52452,https://myanimelist.net/anime/31848/Ojisan_to_Marshmallow,"Habahiro Hige is a simple-minded older man who works an office job and is an enthusiast of Tabekko Marshmallows. His days often consist of being teased by his 24-year-old colleague Iori Wakabayashi, who uses his obsession to her advantage: from eating them in front of his face, to buying out his favorite brand from the convenience store, and even embarrassing him in front of their boss. Although her friends cannot fathom what she sees in him, she just cannot get over his marshmallow-like, fluffy frame. No matter the lengths it takes, Iori will find a way to get his attention. Little does Habahiro know that she is trying to seduce him into a romantic relationship with her. The way to a man's heart is through his stomach, right? At least this is what Iori would honestly like to believe. With a bag in hand, Iori continues to make him chase after her day after day, hoping that he will finally see through her attempts. Will he ever realize that their relationship can become s'more?",Slice of Life,Comedy,Romance,,,,,
One Piece: Cry Heart,5310,6.61,Special,3,5 min. per ep.,Jan 2014,Apr 2015,N/A,Manga,"
  PG-13",6254,https://myanimelist.net/anime/22661/One_Piece__Cry_Heart,"Episode 1: Fuyujima ni Furu Sakura Diligent animators took Banpresto's ""One Piece Cry heart ~Fuyujima ni Furu Sakura~"" (One Piece Cry heart ~The Cherry Blossoms That Fall on Winter Island~) line of crane game prize figures and created a five-minute stop-motion short. The short recreates the famous ""Hiluluk's Cherry Blossoms"" scene from Eiichiro Oda's manga and anime One Piece. Episode 2: Fuyujima ni Furu Sakura A stop-motion animated video for Banpresto's ""One Piece Cry heart ~children's dream~"" line of crane game prize figures. The short recreates the famous ""Oath of Brothers"" scene from Eiichiro Oda's manga and anime. Episode 3: Ace no Saigo",Fantasy,Shounen,,,,,,
